model,layer,variant,stopped_epoch,mse,variance_explained,logitlens_acc,ce_id,ce_sae,ce_zero,loss_recovered
llama,2,soft,20,0.0002942042634978696,0.9994738393715207,0.4077492478512785,2.695400507171382,2.913455917784951,11.749585091873715,0.9759441502112953
llama,3,soft,20,0.0006521066598866529,0.9988356823012823,0.33610660121113256,2.695400507171382,2.916394179071029,11.749585091873715,0.9756288037449147
llama,4,soft,20,0.001145942229592553,0.9979586168983652,0.32569770931279385,2.695400507171382,2.9248862699675287,11.749585091873715,0.9746896653081194
llama,5,soft,20,0.0017550449934053964,0.9968809005804324,0.26807272951116107,2.695400507171382,2.93838851775725,11.749585091873715,0.9732002795467365
llama,6,soft,20,0.002460856707829123,0.9956367902794868,0.28237894445256656,2.695400507171382,2.9985178245781428,11.749585091873715,0.9665572289093195
llama,7,soft,20,0.0032694389649112385,0.994217413364926,0.26075899692984816,2.695400507171382,3.032461090490609,11.749585091873715,0.9628135844637163
llama,8,soft,16,0.003957708348923262,0.9930123482530553,0.2741072321696509,2.6950748385573364,3.123772378107663,11.748746498949686,0.9526818316725644
llama,9,soft,20,0.004698703360033388,0.9917263732663761,0.264098460307323,2.695400507171382,3.150652527489016,11.749585091873715,0.9497700005821819
llama,10,soft,20,0.005292967031595549,0.9908231574648128,0.27658297489246775,2.695400507171382,3.195300146534345,11.749585091873715,0.9448361448646527
llama,11,soft,19,0.005778732767021679,0.9899718444762455,0.2198775017120521,2.6952465547356517,3.1815308114068834,11.747603367548725,0.9463316680042927
llama,12,soft,16,0.00631428584009866,0.9890920803770784,0.2809035018197767,2.6950748385573364,3.1424581821661883,11.748746498949686,0.9506236551867927
llama,13,soft,16,0.007401638679527946,0.9872553796469287,0.24124160325020583,2.6950748385573364,3.1703707025569208,11.748746498949686,0.9475525847969439
llama,14,soft,20,0.008409584284804065,0.9855848996086239,0.2522372096244258,2.695400507171382,3.1929469465839753,11.749585091873715,0.9451058135140945
llama,15,soft,16,0.01074992718911829,0.9817181489748553,0.25105416240256695,2.6950748385573364,3.2828602486996097,11.748746498949686,0.9351376883281264
llama,16,soft,16,0.013346967733582883,0.9775076082455983,0.28322727587507024,2.6950748385573364,3.3342213301009536,11.748746498949686,0.9294759725514601
llama,17,soft,15,0.01760390705561613,0.9707360890878068,0.29353613776440624,2.6955802485938087,3.447568044451797,11.749325037895984,0.9169966160153672
llama,18,soft,20,0.02228293328171032,0.963533960267725,0.31591785227876057,2.695400507171382,3.515967260129962,11.749585091873715,0.9094631011635121
llama,19,soft,16,0.027011840252931362,0.9564542163226571,0.32921030155200404,2.6950748385573364,3.575908319370811,11.748746498949686,0.9027913267300756
llama,20,soft,20,0.03306854643586605,0.9476416006687399,0.3292430036703319,2.695400507171382,3.631055783081078,11.749585091873715,0.8967601691852903
